2020-11-01,51861
2020-11-02,88434
2020-11-03,87928
2020-11-04,78893
2020-11-05,82856
2020-11-06,86960
2020-11-07,75340
2020-11-08,53458
2020-11-09,93334
2020-11-10,91158
2020-11-11,88241
2020-11-12,90134
2020-11-13,89473
2020-11-14,75723
2020-11-15,53918
2020-11-16,82499
2020-11-17,79076
2020-11-18,75048
2020-11-19,75281
2020-11-20,73247
2020-11-21,43543
2020-11-22,36465
2020-11-23,64429
2020-11-24,61059
2020-11-25,59441
2020-11-26,58907
2020-11-27,61560
2020-11-28,48059
2020-11-29,30170
2020-11-30,64374
2020-12-01,53317
2020-12-02,48796
2020-12-03,49118
2020-12-04,51651
2020-12-05,6233
2020-12-06,3390
2020-12-07,53221
2020-12-08,49205
2020-12-09,49918
2020-12-10,50866
2020-12-11,52769
2020-12-12,6748
2020-12-13,3637
2020-12-14,55336
2020-12-15,52222
2020-12-16,53994
2020-12-17,52183
2020-12-18,56546
2020-12-19,6743
2020-12-20,3867
2020-12-21,60715
2020-12-22,53241
2020-12-23,52087
2020-12-24,52830
2020-12-25,56801
2020-12-26,6864
2020-12-27,3726
2020-12-28,61940
2020-12-29,57502
2020-12-30,58694
2020-12-31,56122
